WBGene00000001	aap-1	Y110A7A.10	ENSG00000145675;ENSG00000105647;ENSG00000117461;ENSG00000268173;ENSG00000278139	PIK3R1;PIK3R2;PIK3R3;;	Agammaglobulinemia 7, autosomal recessive, 615214|Immunodeficiency 36, 616005|SHORT syndrome, 269880;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, 603387;;;
WBGene00000047	acr-8	ZC504.2	ENSG00000080644;ENSG00000101204;ENSG00000108556;ENSG00000117971;ENSG00000120903;ENSG00000135902;ENSG00000138435;ENSG00000147432;ENSG00000147434;ENSG00000160716;ENSG00000169684;ENSG00000170175;ENSG00000196811	CHRNA3;CHRNA4;CHRNE;CHRNB4;CHRNA2;CHRND;CHRNA1;CHRNB3;CHRNA6;CHRNB2;CHRNA5;CHRNB1;CHRNG	Lung cancer susceptibility 2, 612052;Epilepsy, nocturnal frontal lobe, 1, 600513|Nicotine addiction, susceptibility to, 188890;Myasthenic syndrome, congenital, 4A, slow-channel, 605809|Myasthenic syndrome, congenital, 4B, fast-channel, 616324|Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931;;Epilepsy, nocturnal frontal lobe, type 4, 610353;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 3A, slow-channel, 616321|Myasthenic syndrome, congenital, 3B, fast-channel, 616322|Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 1A, slow-channel, 601462|Myasthenic syndrome, congenital, 1B, fast-channel, 608930;;;Epilepsy, nocturnal frontal lobe, 3, 605375;Lung cancer susceptibility 2, 612052|Nicotine dependence, susceptibility to, 612052;Myasthenic syndrome, congenital, 2A, slow-channel, 616313|Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314;Escobar syndrome, 265000|Multiple pterygium syndrome, lethal type, 253290
WBGene00000048	acr-9	C40C9.2	ENSG00000175344;ENSG00000166664	CHRNA7;CHRFAM7A	
WBGene00000049	acr-10	R02E12.8	ENSG00000175344;ENSG00000166664	CHRNA7;CHRFAM7A	
WBGene00000050	acr-11	D2092.3	ENSG00000175344;ENSG00000166664	CHRNA7;CHRFAM7A	
WBGene00000051	acr-12	R01E6.4	ENSG00000080644;ENSG00000101204;ENSG00000108556;ENSG00000117971;ENSG00000120903;ENSG00000135902;ENSG00000138435;ENSG00000147432;ENSG00000147434;ENSG00000160716;ENSG00000169684;ENSG00000170175;ENSG00000196811	CHRNA3;CHRNA4;CHRNE;CHRNB4;CHRNA2;CHRND;CHRNA1;CHRNB3;CHRNA6;CHRNB2;CHRNA5;CHRNB1;CHRNG	Lung cancer susceptibility 2, 612052;Epilepsy, nocturnal frontal lobe, 1, 600513|Nicotine addiction, susceptibility to, 188890;Myasthenic syndrome, congenital, 4A, slow-channel, 605809|Myasthenic syndrome, congenital, 4B, fast-channel, 616324|Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931;;Epilepsy, nocturnal frontal lobe, type 4, 610353;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 3A, slow-channel, 616321|Myasthenic syndrome, congenital, 3B, fast-channel, 616322|Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323;Multiple pterygium syndrome, lethal type, 253290|Myasthenic syndrome, congenital, 1A, slow-channel, 601462|Myasthenic syndrome, congenital, 1B, fast-channel, 608930;;;Epilepsy, nocturnal frontal lobe, 3, 605375;Lung cancer susceptibility 2, 612052|Nicotine dependence, susceptibility to, 612052;Myasthenic syndrome, congenital, 2A, slow-channel, 616313|Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314;Escobar syndrome, 265000|Multiple pterygium syndrome, lethal type, 253290
WBGene00000053	acr-14	T05C12.2	ENSG00000175344;ENSG00000166664	CHRNA7;CHRFAM7A	
WBGene00000054	acr-15	F25G6.4	ENSG00000166664;ENSG00000175344	CHRFAM7A;CHRNA7	
WBGene00000055	acr-16	F25G6.3	ENSG00000175344;ENSG00000166664	CHRNA7;CHRFAM7A	
WBGene00000056	acr-17	F53E10.2	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00000057	acr-18	F28F8.1	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00000058	acr-19	C31H5.3	ENSG00000166664;ENSG00000175344	CHRFAM7A;CHRNA7	
WBGene00000059	acr-20	R06A4.10	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00000060	acr-21	F27B3.2	ENSG00000174343;ENSG00000129749	CHRNA9;CHRNA10	
WBGene00000061	lgc-11	F48E3.7	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00000062	acr-23	F59B1.9	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00000063	act-1	T04C12.6	ENSG00000184009;ENSG00000075624;ENSG00000169067;ENSG00000123165;ENSG00000148156;ENSG00000169717;ENSG00000181786;ENSG00000184378;ENSG00000187003;ENSG00000107796;ENSG00000143632;ENSG00000159251;ENSG00000163017;ENSG00000196834;ENSG00000166351;ENSG00000183206;ENSG00000198062;ENSG00000222036;ENSG00000188219;ENSG00000188877;ENSG00000196604;ENSG00000222038;ENSG00000230031;ENSG00000233917	ACTG1;ACTB;ACTBL2;ACTRT1;ACTL7B;ACTRT2;ACTL9;ACTRT3;ACTL7A;ACTA2;ACTA1;ACTC1;ACTG2;POTEI;POTED;POTEC;POTEH;POTEM;POTEE;POTEA;POTEF;POTEJ;POTEB2;POTEB	Baraitser-Winter syndrome 2, 614583|Deafness, autosomal dominant 20/26, 604717;Baraitser-Winter syndrome 1, 243310|Dystonia, juvenile-onset, 607371;;;;;;;;Aortic aneurysm, familial thoracic 6, 611788|Moyamoya disease 5, 614042|Multisystemic smooth muscle dysfunction syndrome, 613834;Myopathy, actin, congenital, with cores, 161800|Myopathy, actin, congenital, with excess of thin myofilaments, 161800|Myopathy, congenital, with fiber-type disproportion 1, 255310|Myopathy, scapulohumeroperoneal, 616852|Nemaline myopathy 3, autosomal dominant or recessive, 161800;Atrial septal defect 5, 612794|Cardiomyopathy, dilated, 1R, 613424|Cardiomyopathy, hypertrophic, 11, 612098|Left ventricular noncompaction 4, 613424;Visceral myopathy, 155310;;;;;;;;;;;
WBGene00000064	act-2	T04C12.5	ENSG00000184009;ENSG00000075624;ENSG00000169067;ENSG00000123165;ENSG00000148156;ENSG00000169717;ENSG00000181786;ENSG00000184378;ENSG00000187003;ENSG00000107796;ENSG00000143632;ENSG00000159251;ENSG00000163017;ENSG00000196834;ENSG00000166351;ENSG00000183206;ENSG00000198062;ENSG00000222036;ENSG00000188219;ENSG00000188877;ENSG00000196604;ENSG00000222038;ENSG00000230031;ENSG00000233917	ACTG1;ACTB;ACTBL2;ACTRT1;ACTL7B;ACTRT2;ACTL9;ACTRT3;ACTL7A;ACTA2;ACTA1;ACTC1;ACTG2;POTEI;POTED;POTEC;POTEH;POTEM;POTEE;POTEA;POTEF;POTEJ;POTEB2;POTEB	Baraitser-Winter syndrome 2, 614583|Deafness, autosomal dominant 20/26, 604717;Baraitser-Winter syndrome 1, 243310|Dystonia, juvenile-onset, 607371;;;;;;;;Aortic aneurysm, familial thoracic 6, 611788|Moyamoya disease 5, 614042|Multisystemic smooth muscle dysfunction syndrome, 613834;Myopathy, actin, congenital, with cores, 161800|Myopathy, actin, congenital, with excess of thin myofilaments, 161800|Myopathy, congenital, with fiber-type disproportion 1, 255310|Myopathy, scapulohumeroperoneal, 616852|Nemaline myopathy 3, autosomal dominant or recessive, 161800;Atrial septal defect 5, 612794|Cardiomyopathy, dilated, 1R, 613424|Cardiomyopathy, hypertrophic, 11, 612098|Left ventricular noncompaction 4, 613424;Visceral myopathy, 155310;;;;;;;;;;;
WBGene00000065	act-3	T04C12.4	ENSG00000184009;ENSG00000075624;ENSG00000169067;ENSG00000123165;ENSG00000148156;ENSG00000169717;ENSG00000181786;ENSG00000184378;ENSG00000187003;ENSG00000107796;ENSG00000143632;ENSG00000159251;ENSG00000163017;ENSG00000196834;ENSG00000166351;ENSG00000183206;ENSG00000198062;ENSG00000222036;ENSG00000188219;ENSG00000188877;ENSG00000196604;ENSG00000222038;ENSG00000230031;ENSG00000233917	ACTG1;ACTB;ACTBL2;ACTRT1;ACTL7B;ACTRT2;ACTL9;ACTRT3;ACTL7A;ACTA2;ACTA1;ACTC1;ACTG2;POTEI;POTED;POTEC;POTEH;POTEM;POTEE;POTEA;POTEF;POTEJ;POTEB2;POTEB	Baraitser-Winter syndrome 2, 614583|Deafness, autosomal dominant 20/26, 604717;Baraitser-Winter syndrome 1, 243310|Dystonia, juvenile-onset, 607371;;;;;;;;Aortic aneurysm, familial thoracic 6, 611788|Moyamoya disease 5, 614042|Multisystemic smooth muscle dysfunction syndrome, 613834;Myopathy, actin, congenital, with cores, 161800|Myopathy, actin, congenital, with excess of thin myofilaments, 161800|Myopathy, congenital, with fiber-type disproportion 1, 255310|Myopathy, scapulohumeroperoneal, 616852|Nemaline myopathy 3, autosomal dominant or recessive, 161800;Atrial septal defect 5, 612794|Cardiomyopathy, dilated, 1R, 613424|Cardiomyopathy, hypertrophic, 11, 612098|Left ventricular noncompaction 4, 613424;Visceral myopathy, 155310;;;;;;;;;;;
WBGene00000066	act-4	M03F4.2	ENSG00000184009;ENSG00000075624;ENSG00000169067;ENSG00000123165;ENSG00000148156;ENSG00000169717;ENSG00000181786;ENSG00000184378;ENSG00000187003;ENSG00000107796;ENSG00000143632;ENSG00000159251;ENSG00000163017;ENSG00000196834;ENSG00000166351;ENSG00000183206;ENSG00000198062;ENSG00000222036;ENSG00000188219;ENSG00000188877;ENSG00000196604;ENSG00000222038;ENSG00000230031;ENSG00000233917	ACTG1;ACTB;ACTBL2;ACTRT1;ACTL7B;ACTRT2;ACTL9;ACTRT3;ACTL7A;ACTA2;ACTA1;ACTC1;ACTG2;POTEI;POTED;POTEC;POTEH;POTEM;POTEE;POTEA;POTEF;POTEJ;POTEB2;POTEB	Baraitser-Winter syndrome 2, 614583|Deafness, autosomal dominant 20/26, 604717;Baraitser-Winter syndrome 1, 243310|Dystonia, juvenile-onset, 607371;;;;;;;;Aortic aneurysm, familial thoracic 6, 611788|Moyamoya disease 5, 614042|Multisystemic smooth muscle dysfunction syndrome, 613834;Myopathy, actin, congenital, with cores, 161800|Myopathy, actin, congenital, with excess of thin myofilaments, 161800|Myopathy, congenital, with fiber-type disproportion 1, 255310|Myopathy, scapulohumeroperoneal, 616852|Nemaline myopathy 3, autosomal dominant or recessive, 161800;Atrial septal defect 5, 612794|Cardiomyopathy, dilated, 1R, 613424|Cardiomyopathy, hypertrophic, 11, 612098|Left ventricular noncompaction 4, 613424;Visceral myopathy, 155310;;;;;;;;;;;
WBGene00000067	act-5	T25C8.2	ENSG00000107796;ENSG00000143632;ENSG00000159251;ENSG00000163017;ENSG00000196834;ENSG00000075624;ENSG00000169067;ENSG00000184009;ENSG00000166351;ENSG00000183206;ENSG00000198062;ENSG00000222036;ENSG00000188219;ENSG00000188877;ENSG00000196604;ENSG00000222038;ENSG00000230031;ENSG00000233917	ACTA2;ACTA1;ACTC1;ACTG2;POTEI;ACTB;ACTBL2;ACTG1;POTED;POTEC;POTEH;POTEM;POTEE;POTEA;POTEF;POTEJ;POTEB2;POTEB	Aortic aneurysm, familial thoracic 6, 611788|Moyamoya disease 5, 614042|Multisystemic smooth muscle dysfunction syndrome, 613834;Myopathy, actin, congenital, with cores, 161800|Myopathy, actin, congenital, with excess of thin myofilaments, 161800|Myopathy, congenital, with fiber-type disproportion 1, 255310|Myopathy, scapulohumeroperoneal, 616852|Nemaline myopathy 3, autosomal dominant or recessive, 161800;Atrial septal defect 5, 612794|Cardiomyopathy, dilated, 1R, 613424|Cardiomyopathy, hypertrophic, 11, 612098|Left ventricular noncompaction 4, 613424;Visceral myopathy, 155310;;Baraitser-Winter syndrome 1, 243310|Dystonia, juvenile-onset, 607371;;Baraitser-Winter syndrome 2, 614583|Deafness, autosomal dominant 20/26, 604717;;;;;;;;;;
WBGene00000068	acy-1	F17C8.1	ENSG00000162104	ADCY9	
WBGene00000069	acy-2	C10F3.3	ENSG00000078295;ENSG00000129467;ENSG00000121281;ENSG00000164742;ENSG00000173175;ENSG00000155897;ENSG00000174233;ENSG00000138031	ADCY2;ADCY4;ADCY7;ADCY1;ADCY5;ADCY8;ADCY6;ADCY3	Deafness, autosomal recessive 44, 610154;Dyskinesia, familial, with facial myokymia, 606703;;Lethal congenital contracture syndrome 8, 616287;
WBGene00000070	acy-3	C44F1.5	ENSG00000078295;ENSG00000164742	ADCY2;ADCY1	Deafness, autosomal recessive 44, 610154
WBGene00000071	acy-4	T01C2.1	ENSG00000173175;ENSG00000174233;ENSG00000078295;ENSG00000164742;ENSG00000155897;ENSG00000138031;ENSG00000121281;ENSG00000129467	ADCY5;ADCY6;ADCY2;ADCY1;ADCY8;ADCY3;ADCY7;ADCY4	Dyskinesia, familial, with facial myokymia, 606703;Lethal congenital contracture syndrome 8, 616287;;Deafness, autosomal recessive 44, 610154;;;;
WBGene00000072	add-1	F39C12.2	ENSG00000087274;ENSG00000075340;ENSG00000148700	ADD1;ADD2;ADD3	Hypertension, essential, salt-sensitive, 145500;;Cerebral palsy, spastic quadriplegic, 3, 617008
WBGene00000073	add-2	F57F5.4	ENSG00000075340;ENSG00000087274;ENSG00000148700	ADD2;ADD1;ADD3	Hypertension, essential, salt-sensitive, 145500;Cerebral palsy, spastic quadriplegic, 3, 617008
WBGene00000074	adm-2	C04A11.4	ENSG00000148848;ENSG00000135074;ENSG00000149451;ENSG00000168615;ENSG00000042980;ENSG00000151651;ENSG00000069206;ENSG00000134007;ENSG00000134249;ENSG00000139985;ENSG00000143537;ENSG00000168594;ENSG00000104755;ENSG00000168619;ENSG00000197140	ADAM12;ADAM19;ADAM33;ADAM9;ADAM28;ADAM8;ADAM7;ADAM20;ADAM30;ADAM21;ADAM15;ADAM29;ADAM2;ADAM18;ADAM32	Cone-rod dystrophy 9, 612775;;;;;;;;;;;
WBGene00000075	adm-4	ZK154.7	ENSG00000151694	ADAM17	Inflammatory skin and bowel disease, neonatal, 1, 614328
WBGene00000079	adr-1	H15N14.1	ENSG00000140955;ENSG00000164113	ADAD2;ADAD1	
WBGene00000080	adr-2	T20H4.4	ENSG00000197381;ENSG00000185736;ENSG00000160710	ADARB1;ADARB2;ADAR	Aicardi-Goutieres syndrome 6, 615010|Dyschromatosis symmetrica hereditaria, 127400
WBGene00000081	ads-1	Y50D7A.7	ENSG00000018510	AGPS	Rhizomelic chondrodysplasia punctata, type 3, 600121
WBGene00000082	adt-1	C02B4.1	ENSG00000087116;ENSG00000138316;ENSG00000156140;ENSG00000160323;ENSG00000049192;ENSG00000140470;ENSG00000140873;ENSG00000145536	ADAMTS2;ADAMTS14;ADAMTS3;ADAMTS13;ADAMTS6;ADAMTS17;ADAMTS18;ADAMTS16	Ehlers-Danlos syndrome, dermatosparaxix type, 225410;;;Thrombotic thrombocytopenic purpura, familial, 274150;;Weill-Marchesani-like syndrome, 613195;Microcornea, myopic chorioretinal atrophy, and telecanthus, 615458;
WBGene00000083	adt-2	F08C6.1	ENSG00000087116;ENSG00000138316;ENSG00000156140;ENSG00000160323;ENSG00000049192;ENSG00000140470;ENSG00000140873;ENSG00000145536	ADAMTS2;ADAMTS14;ADAMTS3;ADAMTS13;ADAMTS6;ADAMTS17;ADAMTS18;ADAMTS16	Ehlers-Danlos syndrome, dermatosparaxix type, 225410;;;Thrombotic thrombocytopenic purpura, familial, 274150;;Weill-Marchesani-like syndrome, 613195;Microcornea, myopic chorioretinal atrophy, and telecanthus, 615458;
WBGene00000086	aex-3	C02H7.3	ENSG00000110514	MADD	
